id	year	cty	hexp_gdp	hexp_ppp
1	1960	"Australia"	3.6	90
1	1961	"Australia"		
1	1962	"Australia"		
1	1963	"Australia"	3.8	107
1	1964	"Australia"		
1	1965	"Australia"		
1	1966	"Australia"	3.8	128
1	1967	"Australia"		
1	1968	"Australia"		
1	1969	"Australia"	4.1	176
1	1970	"Australia"		
1	1971	"Australia"	4.8	233
1	1972	"Australia"	4.8	249
1	1973	"Australia"	4.8	274
1	1974	"Australia"	5.4	337
1	1975	"Australia"	6.3	430
1	1976	"Australia"	6.3	458
1	1977	"Australia"	6.5	497
1	1978	"Australia"	6.3	536
1	1979	"Australia"	6.1	576
1	1980	"Australia"	6.1	632
1	1981	"Australia"	6	707
1	1982	"Australia"	6.3	739
1	1983	"Australia"	6.2	785
1	1984	"Australia"	6.2	837
1	1985	"Australia"	6.4	911
1	1986	"Australia"	6.6	981
1	1987	"Australia"	6.4	1025
1	1988	"Australia"	6.3	1079
1	1989	"Australia"	6.4	1132
1	1990	"Australia"	6.7	1194
1	1991	"Australia"	7	1271
1	1992	"Australia"	7.1	1360
1	1993	"Australia"	7.1	1435
1	1994	"Australia"	7.2	1521
1	1995	"Australia"	7.2	1607
1	1996	"Australia"	7.4	1711
1	1997	"Australia"	7.5	1813
1	1998	"Australia"	7.6	1952
1	1999	"Australia"	7.8	2097
1	2000	"Australia"	8	2266
1	2001	"Australia"	8.1	2388
1	2002	"Australia"	8.4	2559
1	2003	"Australia"	8.3	2673
1	2004	"Australia"	8.5	2878
1	2005	"Australia"	8.4	2980
1	2006	"Australia"	8.5	3164
1	2007	"Australia"	8.5	3353
1	2008	"Australia"	8.7	3445
1	2009	"Australia"		
1	2010	"Australia"		
2	1960	"Austria"	4.3	77
2	1961	"Austria"	4.5	86
2	1962	"Austria"	4.6	90
2	1963	"Austria"	4.7	97
2	1964	"Austria"	4.6	103
2	1965	"Austria"	4.6	107
2	1966	"Austria"	4.9	124
2	1967	"Austria"	5.2	139
2	1968	"Austria"	5.3	153
2	1969	"Austria"	5.3	171
2	1970	"Austria"	5.2	196
2	1971	"Austria"	5.1	215
2	1972	"Austria"	5.1	235
2	1973	"Austria"	5.3	267
2	1974	"Austria"	5.4	310
2	1975	"Austria"	6.9	436
2	1976	"Austria"	7.1	496
2	1977	"Austria"	7.1	547
2	1978	"Austria"	7.4	616
2	1979	"Austria"	7.4	699
2	1980	"Austria"	7.4	785
2	1981	"Austria"	6.6	754
2	1982	"Austria"	6.5	802
2	1983	"Austria"	6.3	837
2	1984	"Austria"	6.3	877
2	1985	"Austria"	6.4	939
2	1986	"Austria"	6.7	1017
2	1987	"Austria"	6.8	1082
2	1988	"Austria"	6.8	1154
2	1989	"Austria"	7	1270
2	1990	"Austria"	8.3	1623
2	1991	"Austria"	8.4	1729
2	1992	"Austria"	8.7	1840
2	1993	"Austria"	9.3	2004
2	1994	"Austria"	9.6	2162
2	1995	"Austria"	9.5	2239
2	1996	"Austria"	9.5	2305
2	1997	"Austria"	9.8	2446
2	1998	"Austria"	10	2603
2	1999	"Austria"	10.1	2733
2	2000	"Austria"	9.9	2862
2	2001	"Austria"	10.1	2906
2	2002	"Austria"	10.1	3057
2	2003	"Austria"	10.3	3199
2	2004	"Austria"	10.4	3390
2	2005	"Austria"	10.4	3472
2	2006	"Austria"	10.3	3629
2	2007	"Austria"	10.3	3792
2	2008	"Austria"	10.4	4128
2	2009	"Austria"	11	4289
2	2010	"Austria"		
3	1960	"Belgium"		
3	1961	"Belgium"		
3	1962	"Belgium"		
3	1963	"Belgium"		
3	1964	"Belgium"		
3	1965	"Belgium"		
3	1966	"Belgium"		
3	1967	"Belgium"		
3	1968	"Belgium"		
3	1969	"Belgium"		
3	1970	"Belgium"	3.9	149
3	1971	"Belgium"	4	166
3	1972	"Belgium"	4.2	189
3	1973	"Belgium"	4.4	225
3	1974	"Belgium"	4.5	259
3	1975	"Belgium"	5.6	348
3	1976	"Belgium"	5.8	402
3	1977	"Belgium"	6.3	465
3	1978	"Belgium"	6.5	527
3	1979	"Belgium"	6.5	582
3	1980	"Belgium"	6.3	641
3	1981	"Belgium"	6.7	746
3	1982	"Belgium"	6.9	824
3	1983	"Belgium"	7.1	880
3	1984	"Belgium"	6.9	914
3	1985	"Belgium"	7	964
3	1986	"Belgium"	7.2	1029
3	1987	"Belgium"	7.3	1099
3	1988	"Belgium"	7.3	1187
3	1989	"Belgium"	7.2	1259
3	1990	"Belgium"	7.2	1353
3	1991	"Belgium"	7.6	1484
3	1992	"Belgium"	7.7	1573
3	1993	"Belgium"	7.9	1612
3	1994	"Belgium"	7.7	1649
3	1995	"Belgium"	7.6	1710
3	1996	"Belgium"	7.9	1805
3	1997	"Belgium"	7.8	1852
3	1998	"Belgium"	7.9	1923
3	1999	"Belgium"	8.1	2048
3	2000	"Belgium"	8.1	2245
3	2001	"Belgium"	8.3	2364
3	2002	"Belgium"	8.5	2542
3	2003	"Belgium"	10	3034
3	2004	"Belgium"	10.2	3164
3	2005	"Belgium"	10.1	3231
3	2006	"Belgium"	9.6	3279
3	2007	"Belgium"	9.7	3437
3	2008	"Belgium"	10.1	3714
3	2009	"Belgium"	10.9	3946
3	2010	"Belgium"		
4	1960	"Canada"	5.4	123
4	1961	"Canada"	5.8	135
4	1962	"Canada"	5.8	143
4	1963	"Canada"	5.9	153
4	1964	"Canada"	5.9	162
4	1965	"Canada"	5.9	177
4	1966	"Canada"	5.9	191
4	1967	"Canada"	6.2	208
4	1968	"Canada"	6.5	236
4	1969	"Canada"	6.6	262
4	1970	"Canada"	6.9	294
4	1971	"Canada"	7.2	331
4	1972	"Canada"	7	352
4	1973	"Canada"	6.7	374
4	1974	"Canada"	6.6	411
4	1975	"Canada"	7	479
4	1976	"Canada"	7	525
4	1977	"Canada"	6.9	568
4	1978	"Canada"	6.9	625
4	1979	"Canada"	6.8	683
4	1980	"Canada"	7	777
4	1981	"Canada"	7.2	894
4	1982	"Canada"	8	1011
4	1983	"Canada"	8.2	1092
4	1984	"Canada"	8.1	1173
4	1985	"Canada"	8.1	1259
4	1986	"Canada"	8.4	1344
4	1987	"Canada"	8.3	1410
4	1988	"Canada"	8.2	1500
4	1989	"Canada"	8.4	1609
4	1990	"Canada"	8.9	1735
4	1991	"Canada"	9.6	1874
4	1992	"Canada"	9.8	1968
4	1993	"Canada"	9.7	2011
4	1994	"Canada"	9.4	2053
4	1995	"Canada"	9	2056
4	1996	"Canada"	8.8	2058
4	1997	"Canada"	8.8	2151
4	1998	"Canada"	9	2310
4	1999	"Canada"	8.9	2416
4	2000	"Canada"	8.8	2519
4	2001	"Canada"	9.3	2733
4	2002	"Canada"	9.6	2875
4	2003	"Canada"	9.8	3055
4	2004	"Canada"	9.8	3205
4	2005	"Canada"	9.8	3442
4	2006	"Canada"	10	3665
4	2007	"Canada"	10	3844
4	2008	"Canada"	10.3	4024
4	2009	"Canada"	11.4	4363
4	2010	"Canada"	11.3	4478
5	1960	"Chile"		
5	1961	"Chile"		
5	1962	"Chile"		
5	1963	"Chile"		
5	1964	"Chile"		
5	1965	"Chile"		
5	1966	"Chile"		
5	1967	"Chile"		
5	1968	"Chile"		
5	1969	"Chile"		
5	1970	"Chile"		
5	1971	"Chile"		
5	1972	"Chile"		
5	1973	"Chile"		
5	1974	"Chile"		
5	1975	"Chile"		
5	1976	"Chile"		
5	1977	"Chile"		
5	1978	"Chile"		
5	1979	"Chile"		
5	1980	"Chile"		
5	1981	"Chile"		
5	1982	"Chile"		
